country_code,population,life_expectancy,hospital_beds_per_thousand,handwashing_facilities,male_smokers,female_smokers,diabetes_prevalence,cardiovasc_death_rate,extreme_poverty,gdp_per_capita,aged_70_older,aged_65_older,median_age,population_density,stringency_index
GUY,808727.0,69.91,1.6,77.159,,,11.62,373.159,,7435.047,2.837,5.305,26.3,3.952,87.04
HKG,7488863.0,84.86,,,,,8.33,,,56054.92,10.158,16.303,44.8,7039.714,75.0
HND,10432858.0,75.27,0.7,84.169,,2.0,7.21,240.208,16.0,4541.795,2.883,4.652,24.9,82.805,100.0
HRV,4030361.0,78.49,5.54,,39.9,34.3,5.59,253.782,0.7,22669.797,13.053,19.724,44.0,73.726,96.3
HTI,11585003.0,64.0,0.7,22.863,23.1,2.9,6.65,430.548,23.5,1653.173,2.954,4.8,24.3,398.448,93.52
HUN,9967304.0,76.88,7.02,,34.8,26.8,7.55,278.296,0.5,26777.561,11.976,18.577,43.4,108.043,79.63
IDN,275501344.0,71.72,1.04,64.204,76.1,2.8,6.32,342.864,5.7,11188.744,3.053,5.319,29.3,145.725,80.09
IMN,84534.0,81.4,,,,,,,,,,,,147.872,
IND,1417173120.0,69.66,0.53,59.55,20.6,1.9,10.39,282.28,21.2,6426.674,3.414,5.989,28.2,450.419,100.0
IRL,5023108.0,82.3,2.96,,25.7,23.0,3.28,126.459,0.2,67335.293,8.678,13.928,38.7,69.874,90.74
IRN,88550568.0,76.68,1.5,,21.1,0.8,9.59,270.308,0.2,19082.62,3.182,5.44,32.4,49.831,83.33
IRQ,44496124.0,70.6,1.4,94.576,,,8.83,218.612,2.5,15663.986,1.957,3.186,20.0,88.125,96.3
ISL,372903.0,82.99,2.91,,15.2,14.3,5.31,117.992,0.2,46482.958,9.207,14.431,37.3,3.404,65.74
ISR,9449000.0,82.97,2.99,,35.4,15.4,6.74,93.32,0.5,33132.32,7.359,11.733,30.6,402.606,94.44
ITA,59037472.0,83.51,3.18,,27.8,19.8,4.78,113.151,2.0,35220.084,16.24,23.021,47.9,205.859,93.52
JAM,2827382.0,74.47,1.7,66.425,28.6,5.3,11.28,206.537,,8193.571,6.39,9.684,31.4,266.879,89.81
JEY,110796.0,,,,,,,,,,,,,,
JOR,11285875.0,74.53,1.4,,,,11.75,208.257,0.1,8337.49,2.361,3.81,23.2,109.285,100.0
JPN,123951696.0,84.63,13.05,,33.7,11.2,5.72,79.37,,39002.223,18.493,27.049,48.2,347.778,55.09
KAZ,19397998.0,73.6,6.7,98.999,43.1,7.0,7.11,466.792,0.1,24055.588,4.625,6.991,30.6,6.681,92.13
KEN,54027484.0,66.7,1.4,24.651,20.4,1.2,2.92,218.637,36.8,2993.028,1.528,2.686,20.0,87.324,88.89
KGZ,6630621.0,71.45,4.5,89.22,50.5,3.6,7.11,436.362,1.4,3393.474,2.882,4.489,26.3,32.333,92.13
KHM,16767851.0,69.82,0.8,66.229,33.7,2.0,4.0,270.892,,3645.07,2.385,4.412,25.6,90.672,83.8
KIR,131237.0,68.37,1.9,,58.9,35.9,22.66,434.657,,1981.132,2.21,3.895,23.2,143.701,81.48
KNA,47681.0,76.23,2.3,,,,12.84,,,24654.385,,,,212.865,
KOR,51815808.0,83.03,12.27,,40.9,6.2,6.8,85.998,0.2,35938.374,8.622,13.914,43.4,527.967,82.41
KWT,4268886.0,75.49,2.0,,37.0,2.7,15.84,132.235,,65530.537,1.114,2.345,33.7,232.128,100.0
LAO,7529477.0,67.92,1.5,49.839,51.2,7.3,4.0,368.111,22.7,6397.36,2.322,4.029,24.4,29.715,96.3
LBN,5489744.0,78.93,2.9,,40.7,26.9,12.71,266.591,,13367.565,5.43,8.514,31.1,594.561,92.59
LBR,5302690.0,64.1,0.8,1.188,18.1,1.5,2.42,272.509,38.6,752.788,1.756,3.057,19.2,49.127,87.96
LBY,6812344.0,72.91,3.7,,,,10.43,341.862,,17881.509,2.816,4.424,29.0,3.623,100.0
LCA,179872.0,76.2,1.3,87.202,,,11.62,204.62,,12951.839,6.405,9.721,34.9,293.187,
LIE,39355.0,82.49,2.397,,,,7.77,,,,,,,237.012,67.59
LKA,21832150.0,76.98,3.6,,27.0,0.3,10.68,197.093,0.7,11669.077,5.331,10.069,34.1,341.955,100.0
LSO,2305826.0,54.33,,2.117,53.9,0.4,3.94,405.126,59.6,2851.153,2.647,4.506,22.2,73.562,90.74
LTU,2750058.0,75.93,6.56,,38.0,21.3,3.67,342.989,0.7,29524.265,13.778,19.002,43.5,45.135,87.04
LUX,647601.0,82.25,4.51,,26.0,20.9,4.42,128.275,0.2,94277.965,9.842,14.312,39.7,231.447,79.63
LVA,1850654.0,75.29,5.57,,51.0,25.6,4.91,350.06,0.7,25063.846,14.136,19.754,43.9,31.212,67.59
MAC,695180.0,84.24,,,,,,,,104861.851,4.991,9.798,39.2,20546.766,78.7
MAF,31816.0,82.08,,,,,,,,,,,,590.533,
MAR,37457976.0,76.68,1.1,,47.1,0.8,7.14,419.146,1.0,7485.013,4.209,6.769,29.6,80.08,93.52
MCO,36491.0,86.75,13.8,,,,5.46,,,,,,,19347.5,76.85
MDA,3272993.0,71.9,5.8,86.979,44.6,5.9,5.72,408.502,0.2,5189.972,6.955,10.864,37.6,123.655,87.04
MDG,29611718.0,67.04,0.2,50.54,,,3.94,405.994,77.6,1416.44,1.686,2.929,19.6,43.951,95.37
MDV,523798.0,78.92,,95.803,55.0,2.1,9.19,164.905,,15183.616,2.875,4.12,30.6,1454.433,
MEX,127504120.0,75.05,1.38,87.847,21.4,6.9,13.06,152.783,2.5,17336.469,4.321,6.857,29.3,66.444,82.41
MHL,41593.0,73.7,2.7,82.502,,,30.53,557.793,,3819.202,,,,295.15,
MKD,2093606.0,75.8,4.28,,,,10.08,322.688,5.0,13111.214,8.16,13.26,39.1,82.6,
MLI,22593598.0,59.31,0.1,52.232,23.0,1.6,2.42,268.024,,2014.306,1.486,2.519,16.4,15.196,78.7
MLT,533293.0,82.53,4.485,,30.2,20.9,8.83,168.711,0.2,36513.323,11.324,19.426,42.4,1454.037,87.04
MMR,54179312.0,67.13,0.9,79.287,35.2,6.3,4.61,202.104,6.4,5591.597,3.12,5.732,29.1,81.721,90.74
MNE,627082.0,76.88,3.861,,47.9,44.0,10.08,387.305,1.0,16409.288,9.395,14.762,39.1,46.28,
MNG,3398373.0,69.87,7.0,71.18,46.5,5.5,4.82,460.043,0.5,11840.846,2.421,4.031,28.6,1.98,96.3
MNP,49574.0,76.74,,,,,,194.994,,,,,,119.878,
